Provider Name,DBT-A Certified,Adherent Team Only,Full Address (DHS),City,State,ZIP,Phone (DHS),Website (DHS),Logo File,Logo URL (CDN),Contact Page URL,Staff/Team Page URL,Email,Phone (Website),Fax,Services Offered,DBT Services Description,Ages Served,Accepts Insurance,Telehealth Available,In-Person Available,Staff Names,Staff Credentials,Specialties,Sliding Scale,Accepting New Clients,Facebook URL,Instagram URL,Notes,Data Source
Tiny Tree Counseling & Consulting LLC,No,No,"3950 Lyndale Ave S, Suite 2, Minneapolis, MN, 55409",Minneapolis,MN,55409,612-234-1807,https://www.tinytreecounseling.com/,,,https://www.tinytreecounseling.com/contact,https://www.tinytreecounseling.com/meet-mary,support@tinytreecounseling.com,612-234-1807,Not found,"Individual DBT Therapy, DBT Skills Groups, Individual Therapy, Diagnostic Assessment, Clinical Supervision, Consulting","Individual weekly DBT therapy and 24/7 phone coaching for adults in DBT standard/adherent programs. Nationally certified in Dialectical Behavior Therapy (DBT), a highly effective approach in treating individuals living with behaviors that are self-damaging and often characterized by high impulsivity and fast-escalating, intense emotions.",Adults (18+),"Yes - Medical Assistance, United Behavioral Health, United Healthcare, Optum, Medica, UMR, UCare, Preferred One, Health Partners, Cigna, BCBS, Medicare, Private Pay, Aetna",Yes,Yes,Mary Souder,"LPCC, DBT-Linehan Board of Certification, Certified Clinician™, Approved LPCC supervisor","Anxiety, Depression, Personality Disorders, Mood Disorders, Trauma",Unknown,Unknown,Not found,Not found,Our Adult DBT Program is certified by Minnesota Department of Human Services!,MN DHS + Website Enrichment
Twin Cities Counseling PLLC,No,No,"4220 31st Ave S, Minneapolis, MN, 55406",Minneapolis,MN,55406,651-208-2767,https://www.twincitiescounseling.org/,twin_cities_counseling_pllc.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/QMxnjCqpRrRYJvjb.png,https://www.twincitiescounseling.org/,https://www.twincitiescounseling.org/get-to-know-us,Not found,Not found,Not found,"Individual Therapy, Adolescent Therapy, DBT, Trauma Therapy, Relationship Counseling","At Twin Cities Counseling, we specialize in Dialectical Behavior Therapy (DBT) techniques, and offer years of experience treating personality disorders, particularly Borderline Personality Disorder (BPD). Our approach is non-judgmental, compassionate, and focused on helping clients make positive and sustainable changes in their lives.",Adults and Adolescents,"Yes - Aetna, Blue Cross Blue Shield, Cigna, Health Partners, Hennepin Health, Medica, Medicaid, Medicare, Optum, Preferred One, Surest, UnitedHealthcare",Unknown,Unknown,"Nick Ross, Mark Bartley, Aimee Easton, David Romano, Hannah Lowe","MA, LPCC, MS, LPC, MSW, LICSW","Trauma, Anxiety, BPD, Relationships, Depression",Unknown,Yes,Not found,Not found,"Marshmallow (""Mel"") is listed as a staff member, which appears to be a pet.",MN DHS + Website Enrichment
Twin Cities Counseling PLLC,No,No,"333 N Washington Ave, #401, Minneapolis, MN, 55401",Minneapolis,MN,55401,651-208-2767,https://www.twincitiescounseling.org/,twin_cities_counseling_pllc.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/QMxnjCqpRrRYJvjb.png,https://www.twincitiescounseling.org/,https://www.twincitiescounseling.org/get-to-know-us,Not found,Not found,Not found,"Individual Therapy, Adolescent Therapy, DBT, Trauma Therapy, Relationship Counseling","At Twin Cities Counseling, we specialize in Dialectical Behavior Therapy (DBT) techniques, and offer years of experience treating personality disorders, particularly Borderline Personality Disorder (BPD). Our approach is non-judgmental, compassionate, and focused on helping clients make positive and sustainable changes in their lives.",Adults and Adolescents,"Yes - Aetna, Blue Cross Blue Shield, Cigna, Health Partners, Hennepin Health, Medica, Medicaid, Medicare, Optum, Preferred One, Surest, UnitedHealthcare",Unknown,Unknown,"Nick Ross, Mark Bartley, Aimee Easton, David Romano, Hannah Lowe","MA, LPCC, MS, LPC, MSW, LICSW","Trauma, Anxiety, BPD, Relationships, Depression",Unknown,Yes,Not found,Not found,"Marshmallow (""Mel"") is listed as a staff member, which appears to be a pet.",MN DHS + Website Enrichment
Volunteers of America MN Mental Health Clinic dba Vona Center for Mental Health by Volunteers of America of MN,Yes,No,"9220 Bass Lake Road, Suite 255, New Hope, MN, 55422",New Hope,MN,55422,763-225-4029,http://www.voamnwi.org/dbt-outpatient-therapy,volunteers_of_america_mn_mental_health_clinic_dba.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/yPJuYHmJPVrudOIf.svg,https://www.voamnwi.org/contact-us,https://www.voamnwi.org/leadership,voamninfo@voamn.org,952-945-4000,1-888-965-5130,"Individual DBT, Group DBT, Skills Training","Dialectical Behavior Therapy (DBT) is an intensive outpatient therapy program for older children, youth, and adults who experience suicidal thinking, self-harm, or other significant behavioral concerns. This therapeutic approach typically lasts six months to a year, or longer if necessary. DBT may be an option for individuals who have not been helped by other therapeutic options, such as traditional psychotherapy (“talk therapy”). Upon referral, an assessment will be conducted to determine if DBT is the best path forward. Vona is deemed an Essential Community Provider and is certified by Minnesota's Department of Human Services under Minnesota Statutes 245i.",11 and older,"Yes - Insurance accepted, including Medical Assistance; Private Pay",Yes,Yes,"Karina Forrest Perkins, Julia Donaldson, Div Mehta, Roma Anderson Milton, Katie Perzel","MSW, LICSW",Not found,Unknown,Unknown,https://www.facebook.com/voamnwi,https://www.instagram.com/voamnwi/,Unknown,MN DHS + Website Enrichment
Washburn Center for Children,No,No,"1100 Glenwood Ave, Minneapolis, MN, 55405",Minneapolis,MN,55405,612-871-1454,https://washburn.org/,,,https://washburn.org/contact-us/,https://washburn.org/about-us/,medicalrecords@washburn.org,612-871-1454,612-871-1505,"Case Management, Crisis Stabilization, Day Treatment, Dialectical Behavior Therapy (DBT) Groups, Family Focused, Intensive In-home, Outpatient Therapy, Outreach, School-based, WARM",Unknown,Children (birth to 18),Yes - most insurance programs,Unknown,Yes,Not found,Not found,"Trauma, Anxiety, Depression",Yes,Unknown,https://www.facebook.com/WashburnCenterforChildren/,https://www.instagram.com/washburncenter/,"Several links on the website are broken, including the main 'Services' and 'Our Leaders' pages.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"1212 East College Drive, Marshall, MN, 56258",Marshall,MN,56258,507-532-3236,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"112 St. Olaf Ave S., Canby, MN, 56220",Canby,MN,56220,800-658-2429,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"818 Prentice Drive, Granite Falls, MN, 56241",Granite Falls,MN,56241,800-658-2449,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"2001 Maple St, Slayton, MN, 56172",Slayton,MN,56172,800-658-2249,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"101 Caring Way, Redwood Falls, MN, 56283",Redwood Falls,MN,56283,507-532-3236,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"2042 Juniper Driver, Slayton, MN, 56172",Slayton,MN,56172,800-658-2429,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Western Mental Health Clinic,Yes,No,"240 Willow St, Tyler, MN, 56178",Tyler,MN,56178,800-658-2429,http://wmhcinc.org/,,,https://wmhcinc.org/contact-us/,https://wmhcinc.org/our-providers/,Westernmh@wmhcinc.org,507-532-3236,507-532-0240,"Outpatient therapy, medication management, substance use services, psychiatry, community programs, primary care, ARMHS, CTSS, Mobile Crisis","Adolescent DBT Referral/Multi-Family Skills Group, Adult DBT Referral Form","Adults, Children",Unknown,Yes,Yes,"Valerie Facile, Bud Ingram-Lile, Jill Stoks, Leah Humbert, Erin Kletscher","RN, PMHNP, MD, Psychiatrist, APRN, PMHNP-BC, PMHNP, NCC, LPC, LPCC, LGSW, MSW, LICSW, MS, MHP, LADC, PhD, LP, LMFT",Unknown,Unknown,Unknown,Not found,Not found,"Western Mental Health Center serves the 6 county area of Lincoln, Lyon, Murray, Pipestone, Redwood and Yellow Medicine.",MN DHS + Website Enrichment
Wholehearted Healing LLC,No,No,"6381 Osgood Ave North, Building C, Stillwater, MN, 55082",Stillwater,MN,55082,612-217-1560,https://www.wholeheartedhealingllc.com/,,,https://www.wholeheartedhealingllc.com/contact,https://www.wholeheartedhealingllc.com/our-team,whhteam@wholeheartedhealingllc.com,612-351-7576,651-383-4544,"Individual, couples, family, and group therapy, nutritional services, energy and body work",Unknown,All ages,Unknown,Yes,Yes,"Maggie Meyers, Lucy Brooks, Angela Buzay, Abigail Campbell, Brooke Carlson","DMFT, LPCC, MA, LMFT, RDN, LD, MSW, LICSW","Eating Disorder Recovery, Community Healing & Support, Grief and Loss Processing",Unknown,Unknown,https://www.facebook.com/wholeheartedhealingllc,https://www.instagram.com/wholeheartedhealingmn/,"The provider has three locations: Inver Grove Heights, Stillwater, and Wayzata. They also offer telehealth.",MN DHS + Website Enrichment
